Risk ID,Domain,Scenario,Why Singapore-Specific,Primary Stakeholders,Existing Policy/Control Anchors,Likelihood,Impact,Priority,Potential Harms,Early Warning Indicators,Recommended Controls,Residual Risk / Open Question
EAI-SG-011,Maritime / port automation,"Autonomous port vehicle or vessel coordination failure disrupts Tuas Port or creates safety incident","Singapore's port is nationally critical and increasingly automated",MPA; PSA; MOT; CSA; vendor; port operator,"MOT AV maritime section; MPA AI adoption; critical infrastructure security",Low,Very High,High,"Worker injury, port disruption, supply chain delay, national economic impact","Near collisions; remote-operation lag; localization failures; cyber anomalies","Operational design domain, separation rules, independent safety systems, cyber segmentation, incident drills, manual fallback","What EAI-specific assurance is needed for automated port systems beyond existing OT safety?"
EAI-SG-012,Healthcare robotics,"Hospital service robot enters clinical area incorrectly, blocks corridor, mishandles supplies or interacts unsafely with patient","Hospitals are space-constrained, high-trust, safety-critical environments",MOH; HSA; Synapxe; healthcare clusters; PDPC; CSA; vendor,"HSA digital health guidance; AIHGle 2.0; PDPA; CSA guidance",Medium,High,High,"Patient safety risk, infection-control breach, clinical workflow disruption, privacy breach","Wrong ward delivery; corridor blockage; repeated staff overrides; patient complaints","Clinical risk assessment, route restrictions, infection-control protocol, patient-area geofencing, staff override, audit logs","When does a service robot become a regulated medical device or clinical system?"
EAI-SG-013,Public safety robotics,"Police, security or HTX robot misidentifies behaviour, person or threat in public area","Singapore has active public-safety robotics interest and high sensitivity around surveillance",MHA; HTX; SPF; PDPC; CSA; IMDA,"HTX robotics work; SPF technology deployments; PDPA; AI governance",Medium,High,High,"Wrong enforcement escalation, discrimination concern, public distrust, privacy harms","High false positive rate; complaints; unclear escalation policy; biased detections","Human confirmation before enforcement, no fully automated punitive action, bias testing, clear public notice, data minimisation, appeal/feedback channel","What uses should be prohibited or require explicit authorisation?"
EAI-SG-014,Workplace robotics,"Collaborative robot or autonomous machine injures worker in factory, warehouse, port or construction site","Singapore's manpower constraints incentivise workplace automation and robotics adoption",MOM; WSH Council; MTI; EDB; NRP; employer; vendor,"Workplace Safety and Health Act; ISO 10218; MOM workforce transition policy",Medium,High,High,"Worker injury, downtime, regulatory action, insurance costs","Bypassed safety zones; frequent close calls; untrained workers; maintenance shortcuts","Risk assessment, safety-rated sensors, lockout/tagout, worker training, incident reporting, maintenance regime, human factors review","How should adaptive AI behavior be certified after deployment?"
EAI-SG-015,Supply chain,"Foreign robot vendor retains remote access or update channel that can alter behaviour without local approval","Singapore deployments may depend on global vendors and cloud/model providers",CSA; IMDA; sector regulator; procurement authority; operator,"CSA AI security guidance; procurement security requirements",Medium,High,High,"Unauthorized changes, cyber compromise, sovereignty concerns, evidence gaps after incident","Opaque vendor access; unsigned updates; offshore logs; emergency patch without approval","Vendor due diligence, update approval gates, software bill of materials, signed firmware, local audit logs, remote access controls","Should high-risk EAI require local control plane or escrowed safety evidence?"
EAI-SG-016,Model / map drift,"Robot safety performance degrades after software update, construction change, route change or seasonal crowd pattern","Singapore's built environment changes quickly and routes are dense",JTC; LTA; operator; vendor; IMDA; CSA,"PDD monitoring; agentic AI monitoring; software lifecycle controls",High,Medium,High,"Near misses, stuck robots, unsafe routing, service unreliability","Incident increase after update; localization errors; repeated route replanning; outdated maps","Change management, post-update validation, map freshness checks, canary deployment, rollback, continuous monitoring","What changes require re-approval versus operator self-certification?"
EAI-SG-017,Emergency response,"Robot fails to yield to emergency responders or continues operating during fire alarm, evacuation or security incident","Dense precincts require predictable emergency priority",SCDF; SPF; JTC; building owner; LTA; operator,"Fire safety rules; building emergency protocols; PDD testbed",Low,Very High,High,"Evacuation delay, responder obstruction, injury, liability","Robots active during drills; blocked fire routes; no emergency broadcast integration","Emergency stop broadcast, evacuation mode, responder override, safe parking zones, fire alarm integration, drills","Should all public-space robots implement standard emergency protocol interfaces?"
EAI-SG-018,Public trust,"Public perceives EAI deployment as surveillance, nuisance or unsafe after visible incident or viral video","Singapore public acceptance matters for Smart Nation and AI adoption",MDDI; IMDA; JTC; PDPC; agency deployer; communications teams,"Smart Nation; AI governance; PDPA; public communication norms",Medium,High,High,"Trial cancellation, reputational damage, lower adoption, politicisation","Social media complaints; unclear robot purpose; lack of signage; incident rumours","Public notice, transparent use-case boundaries, robot identification, incident communications, feedback channels, privacy-by-design","How much incident transparency is appropriate without creating unnecessary alarm?"
EAI-SG-019,Accessibility,"Robot design disadvantages elderly, disabled users, visually impaired users or non-English speakers","Singapore's public spaces serve diverse users and ageing population",MSF; SG Enable; LTA; JTC; IMDA; operator; vendor,"Public accessibility norms; inclusive design; multilingual safety testing",Medium,Medium,Medium,"Exclusion, injury risk, complaints, inequitable public service","Users unable to understand robot signals; obstruction of tactile paving; inaccessible app-only interactions","Accessibility testing, tactile paving avoidance, multilingual audio/visual signals, non-app fallback, disability user trials","Should accessibility be a permit condition for public-space robot trials?"
EAI-SG-020,Data breach,"Robot fleet telemetry, video or interaction data is breached through vendor cloud or weak API","Mobile robots collect valuable spatial, behavioural and security-relevant data",PDPC; CSA; IMDA; JTC; operator; vendor,"PDPA; CSA guidance; AI governance",Medium,High,High,"Privacy breach, security exposure, regulatory action, trust loss","Unencrypted telemetry; broad API tokens; offshore processing unclear; excessive retention","Encryption, access control, retention limits, breach response, vendor audit, data classification, minimisation","Are robot spatial maps sensitive infrastructure data?"
EAI-SG-021,AI assurance gap,"Deployer relies on generic AI testing but lacks physical-world safety evidence","EAI blends AI model risk with robotics, OT and public-space risk",IMDA; CSA; LTA; NRP; EnterpriseSG; sector regulators,"AI Verify; NIST AI RMF; ISO 10218; sector regulation",High,High,Critical,"False confidence, unsafe deployment, regulatory gaps, inconsistent approvals","Safety case lacks ODD, near-miss data, cyber tests, fallback evidence or human factors testing","Singapore EAI safety case template, minimum evidence checklist, independent review for high-risk deployments","Who should accredit or recognise EAI assurance providers?"
EAI-SG-022,Liability / accountability,"Incident involves robot vendor, model provider, fleet operator, infrastructure owner and agency with unclear responsibility","Multi-party public deployments create diffuse accountability",MDDI; AGC; IMDA; sector regulators; JTC; operator; insurers,"Agentic AI accountability principles; contracts; sector permits",Medium,High,High,"Delayed response, compensation disputes, weak incentives, poor learning","Contracts lack incident ownership; logs fragmented; vendors blame each other","Accountability matrix, mandatory logging, incident owner, insurance requirements, contractual safety duties","Should high-risk EAI deployments require named accountable officer?"
EAI-SG-023,AI-enabled manipulation,"Humanoid or service robot gives misleading safety, health, financial or government-service advice in public setting","Embodied interfaces can increase perceived authority and trust",IMDA; GovTech; PDPC; sector agency; vendor,"AI governance; public communications; consumer protection depending on context",Medium,Medium,Medium,"Misinformation, reliance harms, reputational damage, vulnerable-user harm","Robot answers outside scope; no handoff; users treat robot as official source","Scope restrictions, scripted safety-critical responses, human handoff, disclaimers in interaction design, content guardrails","When should public-facing robots be barred from open-ended advice?"
EAI-SG-024,Over-automation,"Organisation removes human patrol, cleaner, porter, driver or technician capacity before robots are reliable","Singapore's labour constraints create pressure to automate quickly",MOM; sector agencies; employers; unions; operators,"MOM AI transition policy; workplace safety; service continuity planning",Medium,Medium,Medium,"Service degradation, worker stress, hidden manual work, safety gaps","Rising exception workload; high robot downtime; reduced staffing during incidents","Phased deployment, service continuity metrics, worker consultation, retraining, realistic ROI and reliability thresholds","What minimum human capacity should remain during pilot periods?"
EAI-SG-025,Standards lag,"Current AV, robotics or AI standards do not cover emerging multimodal agentic robots in open public environments","EAI is moving faster than standards for open-world physical agency",EnterpriseSG; IMDA; CSA; LTA; NRP; standards bodies,"TR 68 review; ISO 10218; AI RMF; AI Verify",High,Medium,High,"Inconsistent assurance, vendor confusion, regulatory delay, unsafe edge cases","Repeated waiver requests; inconsistent permit conditions; gaps in safety cases","Standards gap analysis, Singapore technical reference for public-space EAI, alignment with international standards","Should Singapore develop an EAI Technical Reference analogous to TR 68?"

